datetime,arma_GARCH_f,arma_apARCH_f,arma_csGARCH_r,arma_gjrGARCH_r,arma_f_naGARCH_r,arma_f_tGARCH_r
120,0.0113111020696347,-0.0190417914466486,0.0142131941753838,-0.0662870622473802,-0.116545555881513,-0.00480972782723188
121,0.0881568629735465,0.128422489023634,0.100241782942308,0.124547466681762,0.191408761114918,0.0666576069029169
122,-0.0176151984875145,-0.0173977448754056,-0.0194917090016825,0.00336927153117315,-0.00995383226755832,-0.0052386742753708
123,-0.0179191219341799,-0.0182038961977145,-0.0152285441308542,-0.00325252975281056,-0.0379378701944726,-0.00489324201224948
124,-0.0126180069637164,-0.00906316333051262,-0.0102063550575744,0.0128728249742016,0.01902830034377,0.00544267362377947
125,0.0293327525337312,0.0420165797557473,0.0293006181121456,0.0512465539525148,0.0933071567973687,0.0285238527168455
126,-0.0148548786261937,-0.0197196132912991,-0.0140476964494013,-0.0245935911770514,-0.0433426736468727,-0.00310700566577381
127,0.0572493087150022,0.0735458672551344,0.0598598851543826,0.0919891662389615,0.0849450122196896,0.0448186413726899
128,0.00816868731625027,0.011448824500588,0.00610327297793558,0.0250092031817354,0.0448136161708525,0.0251634596167702
129,-0.0110368398036066,-0.0114941647382678,-0.0199229879623325,0.00463337601555097,-0.00658166542574345,-0.00212706512364778
130,-0.00929675385162671,-0.0139461715154597,-0.00896921672080155,-0.0161129112118412,-0.0455114294408513,-0.00870071381138632
131,0.0644404973735188,0.0528286615169522,0.0564831656660463,0.0661468387427921,0.110893889566094,0.0498744914397469
132,-0.016152907071667,-0.0169411056854714,-0.0199482956306827,0.00423828560418626,-0.0203546638192585,-0.00862988816057105
133,0.00127194502431434,-0.0184631106482768,0.00507554352680992,-0.0664692352627768,-0.0797731633822581,-0.0112896419504528
134,0.000238973675568594,0.0059452281343731,0.00221185674791322,0.0263317439602699,0.052917620122953,0.0186499432684667
135,-0.00443822828268414,-0.020471129692758,-0.0035802748225277,-0.0515748003777893,-0.0820388205377662,-0.0114512674515497
136,-0.0220264226235955,-0.0256802452553588,-0.01976185470332,0.00164648977480012,-0.0380900748130528,-0.00925480691496943
137,-0.0234259063951472,-0.0214699317054102,-0.0177219236949259,0.010589422868689,-0.0074668665938511,-0.00449829550085003
138,-0.0253799318428531,-0.0219782289545213,-0.0241892270837713,-0.00980966411064654,-0.0193054286251994,-0.00292802191862166
139,-0.0243608497350739,-0.0213523416440763,-0.0183121091501495,-0.00774291823929952,-0.0136955706815552,-5.15950868478213e-05
140,0.06417190576746,0.0859981974059604,0.0504039563412322,0.0814577171304755,0.0969522311941458,0.0260146902324221
141,-0.0251793100554161,-0.0222893735133586,-0.0220835105867577,-0.00723989583029467,-0.0240216233301516,-0.00230313602954177
142,0.041955902105864,-0.019667165069437,0.0288479960074492,-0.151059171906607,-0.110648271721663,-0.00670590353110213
143,-0.0123455799397661,-0.019817911535373,-0.013303348413311,-0.029210123466386,-0.0663931647087122,-0.00615326899968995
144,-0.0218124963325276,-0.0197272260472685,-0.0207294531997611,0.0110106996653252,-0.000224416605111341,-0.00214670032374536
145,-0.022301867747161,-0.0198251268038581,-0.0172067266516421,0.0135548917014586,0.00401135177343582,-0.0098633883117099
146,-0.00466920485896718,-0.0205713402959854,-0.00246727205949796,-0.0818958798479321,-0.0906662787263288,-0.0191571859192239
147,-0.0211763394297309,-0.0214275593489261,-0.0149142544671368,-0.0301993040715832,-0.0421212976737181,-0.0277001867629096
148,0.0515370243559485,-0.0172037508178877,0.0571427092566405,-0.388468483633691,-0.127543038684856,-0.00500568738764037
149,0.00866050785202937,0.0239025728330636,0.00565048434870536,0.059795542981742,0.0856922408065652,0.0167317961228493
150,-0.0177200420986856,-0.0133257948946385,-0.0189315526657453,0.0191515517685222,0.019920878260456,0.00211556201100371
151,-0.0171394750705951,-0.0183526572301063,-0.0152458293194757,-0.0184979027239325,-0.0440735485470424,-0.0118777782669239
152,-0.0123618419543289,-0.00438910360935227,-0.00914797533235443,0.0343794343324353,0.0477799576301993,0.0079498431675011
153,-0.0161855660454789,-0.010013956645429,-0.0135187616704121,0.0282481605005911,0.0327352013443042,0.00448525721681498
154,-0.0213150485805676,-0.0196871263605834,-0.0183441890382766,0.00303944986027079,-0.0309375323793277,-0.0190446375081142
155,0.0111037739815752,0.0286511813695146,0.0127220436085925,0.0643921232470567,0.078722654689111,0.0300321077989493
156,0.00260910691209495,0.0143807738732585,0.0010619535324086,0.045267644646256,0.0634324657645618,0.0220413910818773
157,-0.0117006384728563,-0.0198903226841031,-0.0105461044749492,-0.0495806147463833,-0.0576477455033456,-0.0183365285793391
158,0.175268679641921,0.236411200237234,0.162218244748444,0.298633654251295,0.207945997949368,0.0328352666615725
159,-0.00681386585896568,-0.00120838826378616,-0.00645129209668809,0.020865632154188,0.0359367901297939,0.00877408915606561
160,-0.0226913524771355,-0.0195533383557477,-0.0243354342662042,0.0050393074393228,-0.0116668449829024,0.000284519692629969
161,-0.0145418261402062,-0.0197817655120717,-0.0134935369014877,-0.0277631633551922,-0.0519358897131672,0.000277343331074283
162,-0.0196968080039939,-0.0194098641411179,-0.0188568769847907,0.00307887403227809,-0.023881930044489,0.00278277073578022
163,-0.020500288793167,-0.0173561356646971,-0.0174683886223218,-0.00300156597210104,-0.0303685733581781,0.0027368316759357
164,-0.0223104803378046,-0.0188448296416841,-0.0176749444970646,0.00639864973327785,-0.00805213160506219,0.00219825852544061
165,-0.00473557710059129,0.000901159926328218,-0.00209721328199248,0.022620945550623,0.0404171717286307,0.00213294540878907
166,-0.00456386177310887,-0.0192230028366987,-0.00108475572420086,-0.0579380575724846,-0.0631870328307255,0.00211268224988502
167,-0.0059581296056839,-0.0194827893097914,-0.00402910330662386,-0.0576622056836838,-0.0673151292580888,-0.0104624773113134
168,-0.0242947018941417,-0.0195446393013562,-0.0211698333215133,-6.44106724270611e-05,-0.021266371319232,-0.0117480589493339
169,-0.0186526119074788,-0.0193138076140767,-0.0151116484276004,-0.0152337187968411,-0.0335756436630416,-0.0132647844796239
170,-0.0124050825141383,-0.00630212972151619,-0.00988215146687577,0.0139380329806445,0.0308144982106303,0.000976116447128918
171,-0.0241684512657668,-0.0197951085112791,-0.0198508827733656,-0.0110625241020741,-0.0238325808014254,-0.014918147982377
172,-0.0040511362084911,-0.0194343897071764,-0.00291306158702781,-0.0495171592577342,-0.0440341123589597,-0.0141322594400719
173,-0.0230301240358398,-0.0188455969760974,-0.0194400433274986,0.00119962900981208,-0.00567419327004962,-0.0152914087504146
174,-0.0133636758007614,-0.0083533309313399,-0.0112422406934894,0.0105520305485808,0.037343192924459,0.00897134357361333
175,-0.00125681928770884,-0.0178487164409684,-0.00176738174435972,-0.0610475905678448,-0.0629550161228832,-0.0150385750766201
176,-0.0204530086778651,-0.0172943359563828,-0.0211930390773889,0.00103001567081014,0.003312320249965,-0.0102893186612517
177,-0.0097934331294541,-0.00194923462158659,-0.0103452646114497,0.0116457611030517,0.0435867528349196,0.0113054308619841
178,-0.0222333165887837,-0.0217559356885343,-0.0205581232297708,-0.000392322646873921,-0.0183844376661399,-0.017025355476726
