garch_f,arma_garch_f,aparch_f,arma_aparch_f,arma_sGARCH_r,arma_iGARCH_r,arma_apARCH_r,arma_eGARCH_r,arma_gjrGARCH_r,arma_csGARCH_r,arma_f_avGARCH_r,arma_f_naGARCH_r,arma_f_nGARCH_r,arma_f_tGARCH_r,arma_f_allGARCH_r
0.0848013979894685,0.0742299767161567,0.0440113339824157,0.0890285292250431,0.0786208812682263,0.0782777772892506,0.110184487656046,0.106948381995578,0.090565906023382,0.0763802908241485,0.0568084733448668,0.0834363937794933,0.00392321407854615,0.0711379816794844,-0.0081272124108225
-0.015493825615777,-0.0234481000093594,0.0139260661063656,-0.0212543488639037,-0.0234799116758056,-0.0232895500903484,-0.00132103373703784,-0.017178093551227,-0.0248748339200739,-0.0306465893796961,-0.0403819649824433,-0.0227020451999754,0.00141774212319723,-0.00961749380320914,-0.00722362710223195
0.0786382057666711,0.0731004172969788,0.0587736154594346,0.0583725312227042,0.0729856226159312,0.0727230719649519,0.0559476902975138,0.0505939373315578,0.042902750556525,0.0680343788134991,0.0509412146081221,0.0550291114903661,0.00392936235390674,0.0672245042152743,0.01534221066275
0.2131655086348,0.248412282202154,0.127525970759204,0.245868482470112,0.249932044591234,0.249072598767112,0.0509933457871689,0.251055297567318,0.303097421621757,0.24249930002413,0.311707297274541,0.269832029509957,0.0046595530196826,0.187261345296491,0.0285247019179001
-0.0507975231279098,-0.0429532387941556,-0.136031793626365,-0.0650791163660066,-0.0438633162153115,-0.0434946794284985,0.00223739421922209,-0.0807411177633664,-0.0489694694457678,-0.0591256162130912,-0.015554802845516,-0.048456835192895,0.00237595104420742,-0.0532649657210801,-0.0120996154173148
-0.0369821615259073,-0.0455651057877289,0.0130991738395482,-0.0223767062346881,-0.0258172671340633,-0.025460456231386,-5.1363064538096e-10,-0.020459809514008,-0.0271003372688044,-0.0362778827964003,-0.0135747584490341,-0.0199321863430615,0.00321406469295965,-0.00729204573895302,0.0213579753443546
-0.0494134910952525,-0.0429537982322032,-0.0826801096306584,-0.0515016208951421,-0.0429323288460217,-0.0425984304753797,-0.0519226452771525,-0.0759309155796823,-0.0480715846468049,-0.050409189854621,-0.0489967434926529,-0.0474226503045248,0.00221605707784398,-0.0490400083038237,-0.0874408474184297
-0.0167097711910338,-0.0155294681895922,0.016996206147208,0.0382568293756864,-0.0232272928846905,-0.0229298834664735,0.00212876944576836,-0.0314153806230992,-0.0334453765585704,-0.0237934833702295,-0.00644949598256568,-0.0346185632099149,0.0136357866664838,-0.00706819323049886,-2.75095662342861e-11
0.153250626148982,0.140383199532295,0.0783421126196456,0.109064900828686,0.133122332175417,0.132539356726297,0.0909220553452461,0.0936111053180076,0.0810816934609306,0.137979980036836,0.0484667507700106,0.0989195940624711,0.0865176164338309,0.0950563847577856,0.0464678713448329
-0.051458711266747,-0.0440153465131059,-0.0987630285208718,-0.0814289984138044,-0.0458358286342445,-0.0454962732528555,-0.658536485300598,-0.069489741866924,-0.048354328764064,-0.0544472983651055,-0.0587707379374851,-0.0444484493509055,-0.0709638078769044,-0.0493915081568276,-0.0948048787847779
